# x_m,y_m,w_tr_right_m,w_tr_left_m
3.4000,41.7500,0.5000,0.5000
3.4000,41.7000,0.5000,0.5000
3.4000,41.6500,0.5017,0.5017
3.4000,41.6000,0.5066,0.5066
3.4000,41.5500,0.5149,0.5149
3.4000,41.5000,0.5262,0.5262
3.4000,41.4500,0.5262,0.5262
3.3500,41.4000,0.5017,0.5017
3.3500,41.3500,0.5066,0.5066
3.3500,41.3000,0.5149,0.5149
3.3500,41.2500,0.5262,0.5262
3.3500,41.2000,0.5406,0.5406
3.3500,41.1500,0.5500,0.5500
3.3500,41.1000,0.5500,0.5500
3.3500,41.0500,0.5406,0.5406
3.3500,41.0000,0.5262,0.5262
3.3500,40.9500,0.5149,0.5149
3.3000,40.9000,0.5562,0.5562
3.3000,40.8500,0.5516,0.5516
3.3000,40.8000,0.5500,0.5500
3.3000,40.7500,0.5500,0.5500
3.2500,40.7000,0.5149,0.5149
3.2500,40.6500,0.5066,0.5066
3.2500,40.6000,0.5017,0.5017
3.2500,40.5500,0.5000,0.5000
3.2500,40.5000,0.5000,0.5000
3.2500,40.4500,0.5000,0.5000
3.2500,40.4000,0.5000,0.5000
3.2500,40.3500,0.5000,0.5000
3.2500,40.3000,0.5000,0.5000
3.2500,40.2500,0.5000,0.5000
3.2500,40.2000,0.5000,0.5000
3.2500,40.1500,0.5017,0.5017
3.2500,40.1000,0.5066,0.5066
3.2500,40.0500,0.5149,0.5149
3.2000,40.0000,0.4780,0.4780
3.2000,39.9500,0.4933,0.4933
3.2000,39.9000,0.5000,0.5000
3.2000,39.8500,0.5000,0.5000
3.2000,39.8000,0.5017,0.5017
3.2000,39.7500,0.5066,0.5066
3.2000,39.7000,0.5149,0.5149
3.2000,39.6500,0.5262,0.5262
3.2000,39.6000,0.5406,0.5406
3.2000,39.5500,0.5406,0.5406
3.2000,39.5000,0.5262,0.5262
3.2000,39.4500,0.5149,0.5149
3.1500,39.4000,0.5562,0.5562
3.1500,39.3500,0.5516,0.5516
3.1500,39.3000,0.5500,0.5500
3.1500,39.2500,0.5500,0.5500
3.1500,39.2000,0.5500,0.5500
3.1500,39.1500,0.5500,0.5500
3.1000,39.1000,0.5149,0.5149
3.1000,39.0500,0.5066,0.5066
3.1000,39.0000,0.5017,0.5017
3.1000,38.9500,0.5000,0.5000
3.1000,38.9000,0.5000,0.5000
3.1000,38.8500,0.5000,0.5000
3.1000,38.8000,0.5000,0.5000
3.1000,38.7500,0.5000,0.5000
3.1000,38.7000,0.5000,0.5000
3.1000,38.6500,0.5000,0.5000
3.1000,38.6000,0.5017,0.5017
3.1000,38.5500,0.5066,0.5066
3.1000,38.5000,0.5149,0.5149
3.1000,38.4500,0.5262,0.5262
3.1000,38.4000,0.5149,0.5149
3.1000,38.3500,0.5066,0.5066
3.1000,38.3000,0.5017,0.5017
3.1000,38.2500,0.5000,0.5000
3.1000,38.2000,0.5000,0.5000
3.1000,38.1500,0.5017,0.5017
3.1000,38.1000,0.5066,0.5066
3.1000,38.0500,0.5149,0.5149
3.1000,38.0000,0.5262,0.5262
3.1000,37.9500,0.5406,0.5406
3.1000,37.9000,0.5262,0.5262
3.0500,37.8500,0.5500,0.5500
3.0000,37.8000,0.5000,0.5000
3.0000,37.7500,0.5000,0.5000
3.0000,37.7000,0.5017,0.5017
3.0000,37.6500,0.5066,0.5066
3.0000,37.6000,0.5149,0.5149
3.0000,37.5500,0.5262,0.5262
3.0000,37.5000,0.5406,0.5406
3.0000,37.4500,0.5500,0.5500
2.9500,37.4000,0.5000,0.5000
2.9500,37.3500,0.5000,0.5000
2.9500,37.3000,0.5000,0.5000
2.9500,37.2500,0.5000,0.5000
2.9500,37.2000,0.5000,0.5000
2.9500,37.1500,0.5017,0.5017
2.9500,37.1000,0.5066,0.5066
2.9500,37.0500,0.5149,0.5149
2.9500,37.0000,0.5262,0.5262
2.9000,36.9500,0.4933,0.4933
2.9000,36.9000,0.5000,0.5000
2.9000,36.8500,0.5000,0.5000
2.9000,36.8000,0.5000,0.5000
2.9000,36.7500,0.5000,0.5000
2.9000,36.7000,0.5017,0.5017
2.9000,36.6500,0.5066,0.5066
2.9000,36.6000,0.5149,0.5149
2.9000,36.5500,0.5262,0.5262
2.9000,36.5000,0.5262,0.5262
2.8500,36.4500,0.5000,0.5000
