# x_m,y_m,w_tr_right_m,w_tr_left_m
-1.8400,1.7200,0.8362,0.8362
-1.7900,1.7200,0.8323,0.8323
-1.7400,1.7200,0.8157,0.8157
-1.6900,1.6700,0.8462,0.8462
-1.6400,1.6700,0.8323,0.8323
-1.5900,1.6700,0.8157,0.8157
-1.5400,1.6200,0.8462,0.8462
-1.4900,1.6200,0.8323,0.8323
-1.4400,1.6200,0.8208,0.8208
-1.3900,1.6200,0.8118,0.8118
-1.3400,1.5700,0.8462,0.8462
-1.2900,1.5700,0.8323,0.8323
-1.2400,1.5700,0.8208,0.8208
-1.1900,1.5700,0.8118,0.8118
-1.1400,1.5700,0.8052,0.8052
-1.0900,1.5700,0.8013,0.8013
-1.0400,1.5700,0.8000,0.8000
-0.9900,1.5700,0.8000,0.8000
-0.9400,1.5700,0.8000,0.8000
-0.8900,1.5700,0.8000,0.8000
-0.8400,1.6200,0.7500,0.7500
-0.7900,1.6200,0.7500,0.7500
-0.7400,1.6200,0.7500,0.7500
-0.6900,1.6200,0.7500,0.7500
-0.6400,1.6200,0.7500,0.7500
-0.5900,1.6200,0.7500,0.7500
-0.5400,1.6200,0.7500,0.7500
-0.4900,1.6200,0.7514,0.7514
-0.4400,1.6200,0.7555,0.7555
-0.3900,1.6200,0.7624,0.7624
-0.3400,1.6700,0.7232,0.7232
-0.2900,1.6700,0.7360,0.7360
-0.2400,1.6700,0.7500,0.7500
-0.1900,1.6700,0.7500,0.7500
-0.1400,1.6700,0.7500,0.7500
-0.0900,1.6700,0.7500,0.7500
-0.0400,1.6700,0.7514,0.7514
0.0100,1.6700,0.7514,0.7514
0.0600,1.7200,0.7131,0.7131
0.1100,1.7200,0.7232,0.7232
0.1600,1.7700,0.6882,0.6882
0.2100,1.7700,0.7044,0.7044
0.2600,1.8200,0.6746,0.6746
0.3100,1.8200,0.6882,0.6882
0.3600,1.8700,0.6578,0.6578
0.4100,1.9200,0.6326,0.6326
0.4600,1.9700,0.6132,0.6132
0.5100,2.0200,0.6000,0.6000
0.5600,2.0700,0.5933,0.5933
0.6100,2.1200,0.5933,0.5933
0.6600,2.1700,0.5933,0.5933
0.7100,2.2200,0.5659,0.5659
0.7600,2.2700,0.5446,0.5446
0.7600,2.3200,0.5571,0.5571
0.8100,2.3700,0.5446,0.5446
0.8100,2.4200,0.5301,0.5301
0.8600,2.4700,0.5446,0.5446
0.8600,2.5200,0.5208,0.5208
0.9100,2.5700,0.5301,0.5301
0.9100,2.6200,0.5301,0.5301
0.9600,2.6700,0.5208,0.5208
0.9600,2.7200,0.5446,0.5446
0.9600,2.7700,0.5208,0.5208
0.9600,2.8200,0.5000,0.5000
